O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,GPA,Career,Cluster
8.37,8.72,4.63,5.45,5.84,8.27,5.3,4.28,7.03,6.19,2.47,Biomedical Researcher,Biology
9.25,7.86,5.12,5.64,5.4,8.5,5.58,3.87,7.07,6.53,3.34,Biomedical Researcher,Biology
8.35,8.04,4.72,6.31,4.76,6.14,4.77,1.71,7.07,5.51,3.73,Biomedical Researcher,Biology
9.11,8.02,4.31,5.2,4.76,6.28,4.69,2.41,7,6.4,3.61,Biomedical Researcher,Biology
9.4,8.72,5.18,5.75,5.82,8.49,5.08,2.31,6.85,5.78,3.38,Biomedical Researcher,Biology
8.82,8.48,4.58,5.34,5.03,7.91,4.77,2.48,6.95,5.95,2.33,Biomedical Researcher,Biology
8.6,8.63,4.75,6.29,4.78,8.32,5.37,2.41,7.12,5.47,2.66,Biomedical Researcher,Biology
9.11,7.97,5.06,5.26,5.39,6.41,5.52,1.86,7.02,5.79,2.69,Biomedical Researcher,Biology
9.23,8.43,4.63,5.61,5.42,7.49,5.08,3.04,7,6.02,2.58,Biomedical Researcher,Biology
8.94,8.36,4.3,6.01,5.45,7.81,4.92,3.85,6.92,5.51,3.07,Biomedical Researcher,Biology
8.78,7.67,4.01,5.23,4.56,8.23,4.62,4.29,6.67,6.45,3.92,Biotechnologist,Biology
8.78,7.67,4.01,5.23,4.56,5.7,5.19,1.7,6.69,5.44,3.94,Biotechnologist,Biology
9.79,8.68,5.02,6.24,5.57,6.41,5.9,1.8,7.5,6.14,3.86,Biotechnologist,Biology
9.7,8.35,4.62,5.35,4.57,7.92,5.46,3.62,7.02,6.04,3.93,Biotechnologist,Biology
9.74,7.85,4.26,5.84,5.29,6.69,5.53,2.14,7.42,5.71,3.93,Biotechnologist,Biology
9.11,8.37,4.07,5.35,5.1,7.07,4.63,2.2,7.09,6.11,3.89,Biotechnologist,Biology
9.14,7.9,4.4,5.57,5.4,8.15,4.9,4.01,6.83,6.26,3.93,Biotechnologist,Biology
9.29,7.79,4.25,5.37,5.39,5.87,5.47,3.64,6.73,6.23,3.94,Biotechnologist,Biology
9.73,7.84,4.23,5.93,5.41,7.34,5.24,4.05,7.25,6.21,3.93,Biotechnologist,Biology
9.67,7.67,4.98,5.44,5.05,5.89,4.63,3.67,6.99,5.63,3.93,Biotechnologist,Biology
8.88,8.4,4.63,5.63,4.9,6.65,5.65,3.25,7.35,5.53,3.88,Biotechnologist,Biology
9.18,8.41,4.57,6.13,5.36,7.73,5.61,3.39,7.22,6.15,3.91,Biotechnologist,Biology
9.34,8.19,4.43,5.44,5.02,6.8,5.32,4,7.33,5.81,3.87,Biotechnologist,Biology
9.29,7.83,4.44,5.74,4.75,8.22,4.71,3.2,6.9,5.88,3.87,Biotechnologist,Biology
8.98,7.75,4.56,5.65,5.42,7.11,5.6,3.34,7.24,5.47,3.94,Biotechnologist,Biology
9.65,7.69,4.71,5.25,5.45,6.51,5.37,2.11,6.89,5.7,3.89,Biotechnologist,Biology
9.46,7.84,4.72,6.03,5.03,6.26,5.62,2.93,7.45,5.47,3.92,Biotechnologist,Biology
9.63,8.57,4.18,5.3,4.64,6.59,5.58,3.56,7.2,6.33,3.92,Biotechnologist,Biology
9.65,7.91,4.52,5.71,4.95,6.64,5.65,2.4,6.94,5.69,3.93,Biotechnologist,Biology
9.54,8.03,4.43,5.8,5.37,5.87,5.28,2.22,6.89,6,3.94,Biotechnologist,Biology
9.09,7.87,4.65,5.32,6.21,8.48,4.99,5.43,7.65,6.6,3.87,Ecologist,Biology
9.09,7.87,4.65,5.32,6.21,5.88,5.48,1.29,6.91,5.61,3.64,Ecologist,Biology
9.2,8.88,5.66,6.33,7.22,6.31,5.73,1.39,7.26,5.87,2.78,Ecologist,Biology
9.1,8.87,5.33,6.11,6.82,6.05,5.58,1.86,7.31,5.78,2.94,Ecologist,Biology
9.09,8.63,5.33,5.94,7.1,8.42,5.23,3.69,7.53,6.17,3.19,Ecologist,Biology
9.13,8.32,5.03,6.03,7.1,8,5.21,3.38,7.64,6.18,3.65,Ecologist,Biology
9.18,8.58,5.6,6.17,6.88,8.1,5.16,1.89,7.57,6.09,3.18,Ecologist,Biology
9.15,8.26,4.82,6.13,6.42,8.32,5.09,3.87,7.18,6.25,2.87,Ecologist,Biology
9.12,8.1,5.16,6.29,7.08,6.1,5.18,2.42,7.05,5.84,3.39,Ecologist,Biology
9.16,8.47,5.35,5.86,7.1,6.88,5.25,3.31,7.27,6.16,3.7,Ecologist,Biology
9.12,8.81,5.35,5.81,6.41,6.06,5.49,1.63,7.46,5.98,3.65,Ecologist,Biology
9.09,8.81,5.31,5.73,6.95,6.43,5.04,3.19,7.27,6.27,2.97,Ecologist,Biology
9.17,8.22,4.93,5.48,6.5,6.48,5.15,2.56,7.27,5.75,3.51,Ecologist,Biology
9.16,8.4,4.81,5.9,7.02,7.1,5.59,4.69,7.53,6.18,3.02,Ecologist,Biology
9.17,8.08,5.29,5.6,7.22,6.58,5.1,1.53,7.18,5.79,3.02,Ecologist,Biology
9.09,8.88,5.26,6.25,6.24,6.14,5.24,3.02,7.55,5.89,3.73,Ecologist,Biology
9.18,8.86,4.83,5.91,7.12,6.32,5.63,3.19,7.21,5.83,3.05,Ecologist,Biology
9.16,8.53,5.36,5.92,6.84,6.26,5.1,4.29,7.15,5.79,3.07,Ecologist,Biology
9.15,8.68,5.11,5.68,7.19,8.41,5.05,3.67,7.25,6.43,2.78,Ecologist,Biology
9.16,8.59,5.32,5.37,6.68,7.85,5.35,4.05,7.47,5.89,3.73,Ecologist,Biology
8.78,7.67,4.01,5.12,4.67,8.23,4.57,4.34,6.73,6.4,2.58,Forensic Scientist,Biology
8.58,7.47,3.81,4.92,4.47,8.03,4.37,4.14,6.53,6.2,2.77,Forensic Scientist,Biology
8.78,7.67,4.01,5.12,4.67,5.7,5.19,1.67,6.69,5.41,2.59,Forensic Scientist,Biology
8.58,7.47,3.81,4.92,4.47,5.56,5.05,1.65,6.53,5.27,3.65,Forensic Scientist,Biology
9.79,8.68,5.02,6.13,5.68,6.41,5.9,1.77,7.5,6.12,3.97,Forensic Scientist,Biology
9.59,8.48,4.82,5.93,5.48,6.27,5.76,1.75,7.34,5.98,3.44,Forensic Scientist,Biology
8.53,7.2,3.81,5.2,5.03,8.18,4.36,4.21,6.51,6.36,3.15,Forensic Scientist,Biology
8.84,8.07,4.5,5.49,4.85,7.93,4.45,4.3,6.42,6.35,2.94,Forensic Scientist,Biology
9.09,8.1,4.35,5.6,5.03,5.49,5.56,1.65,6.62,5.04,2.87,Forensic Scientist,Biology
8.89,7.83,4.23,4.95,4.45,5.51,5.32,1.76,6.91,5.32,2.96,Forensic Scientist,Biology
8.74,7.8,4.03,5.09,4.2,5.73,5.23,1.7,6.72,5.41,3.79,Forensic Scientist,Biology
9.3,8.1,4.5,5.6,5.1,5.46,4.8,1.67,6.3,5.7,3.25,Forensic Scientist,Biology
8.6,7.68,4.03,5.08,4.62,5.42,5.08,1.77,6.87,5,2.88,Forensic Scientist,Biology
8.55,7.53,4.33,5.25,4.54,5.3,5.15,1.65,6.41,5,3.59,Forensic Scientist,Biology
8.44,7.6,3.98,4.73,4.31,5.49,4.89,1.64,6.56,5.2,2.94,Forensic Scientist,Biology
8.45,7.21,3.62,5,4.44,5.88,5.36,1.84,6.74,5.28,3.72,Forensic Scientist,Biology
9.16,8.56,4.83,6.3,5.64,6.5,5.7,1.74,7.29,6.08,3.38,Forensic Scientist,Biology
9.79,8.64,4.84,6.3,5.66,6.15,5.25,1.81,7.34,6.4,2.69,Forensic Scientist,Biology
9.33,8.27,4.75,6.04,5.27,5.45,5.37,1.79,7.7,6,3.76,Forensic Scientist,Biology
9.41,8.14,4.96,5.97,5.39,6.2,5.77,1.77,7.41,6.16,3.29,Forensic Scientist,Biology
9.12,7.45,4.01,5.23,4.67,8.29,4.62,4.34,6.9,6.34,3.58,Geologist,Biology
9.5,8.1,4.01,5.23,3.1,8.8,4.62,3.56,6.3,6.67,2.61,Geologist,Biology
9.3,7.9,3.81,5.03,2.9,8.6,4.42,3.36,6.1,6.47,2.47,Geologist,Biology
9.12,7.45,4.01,5.23,4.67,5.72,5.36,1.58,6.8,5.61,3.55,Geologist,Biology
9.5,8.1,4.01,5.23,3.1,6.09,5.55,2.31,7.18,5.8,3.17,Geologist,Biology
9.3,7.9,3.81,5.03,2.9,5.95,5.41,2.29,7.02,5.66,3.55,Geologist,Biology
9.12,8.46,5.02,6.24,5.68,6.12,5.56,1.68,7.1,5.81,2.75,Geologist,Biology
9.23,9.11,5.02,6.24,4.11,6.41,5.62,2.41,7.35,5.86,3.38,Geologist,Biology
9.45,8.91,4.82,6.04,3.91,6.4,5.69,2.39,7.4,5.94,2.9,Geologist,Biology
9.18,7.62,4.12,5.18,3.28,8.52,4.58,3.74,6.22,6.51,2.73,Geologist,Biology
9.41,8.04,3.92,5.09,2.84,8.73,4.44,3.41,6.08,6.59,2.55,Geologist,Biology
9.55,8.22,4.06,5.31,3.06,8.91,4.66,3.63,6.36,6.72,2.88,Geologist,Biology
9.27,7.88,3.79,5.02,2.76,8.47,4.39,3.29,6.01,6.44,2.49,Geologist,Biology
9.36,8.15,4.33,5.44,3.52,8.62,4.71,4.12,6.58,6.33,3.21,Geologist,Biology
9.14,7.53,3.86,5.07,4.11,8.25,4.79,4.28,6.71,6.26,3.46,Geologist,Biology
9.48,8.67,4.91,6.08,3.87,8.84,4.57,3.52,6.44,6.38,3.07,Geologist,Biology
9.16,7.58,4.08,5.27,4.58,5.68,5.34,1.62,6.86,5.73,3.41,Geologist,Biology
9.33,7.94,3.84,5.06,3.12,5.92,5.46,2.14,6.97,5.69,3.22,Geologist,Biology
9.52,8.18,4.11,5.35,3.26,6.14,5.52,2.27,7.21,5.84,3.09,Geologist,Biology
9.44,8.73,4.88,6.12,5.41,6.26,5.61,1.74,7.28,5.79,2.82,Geologist,Biology
9.5,8.1,4.01,5.23,3.1,8.8,4.62,3.56,6.3,6.67,3.25,Hydrologist,Biology
9.5,8.1,4.01,5.23,3.1,6.09,5.55,2.31,7.18,5.8,3.36,Hydrologist,Biology
9.87,9.11,5.02,6.24,4.11,6.61,5.94,2.41,7.67,6.18,2.22,Hydrologist,Biology
9.49,8.33,3.98,5.16,2.98,9.2,4.64,3.84,6.8,6.43,2.65,Hydrologist,Biology
9.84,8.84,4.95,5.94,4.02,8.89,4.78,3.43,6.36,6.71,2.22,Hydrologist,Biology
9.48,8.16,4.29,5.83,4.05,8.99,4.53,3.66,6.3,6.79,3.25,Hydrologist,Biology
9.71,9.02,5.12,6.21,3.78,8.62,4.62,3.82,6.19,6.78,3.04,Hydrologist,Biology
9.88,9.18,4.93,6.35,3.98,8.7,4.94,3.31,6.37,6.34,2.91,Hydrologist,Biology
9.74,8.78,4.77,5.64,3.35,8.72,4.79,3.69,6.66,6.62,3.01,Hydrologist,Biology
9.62,8.73,4.53,5.74,2.94,8.85,4.74,3.49,6.47,6.71,3.91,Hydrologist,Biology
9.95,9.25,5.2,6.35,4.4,6.29,5.54,2.28,7.05,6.45,3.3,Hydrologist,Biology
9.53,8.61,4.51,5.71,3.59,6.26,5.74,2.47,7.65,5.61,2.85,Hydrologist,Biology
9.51,8.5,4.86,5.93,3.45,6.09,5.78,2.24,7.22,5.62,3.71,Hydrologist,Biology
9.41,8.53,4.44,5.34,3.25,6.31,5.62,2.21,7.36,5.89,2.93,Hydrologist,Biology
9.42,8.17,4.08,5.6,3.41,6.64,5.92,2.62,7.53,5.98,3.87,Hydrologist,Biology
9.3,8.57,4.39,6.08,3.61,6.78,5.85,2.41,7.3,6.1,2.92,Hydrologist,Biology
9.8,8.66,4.39,6.21,3.64,6.49,5.56,2.56,7.35,6.5,2.09,Hydrologist,Biology
9.42,8.23,4.26,5.65,3.09,6,5.63,2.51,7.69,6,3.37,Hydrologist,Biology
9.48,8.09,4.5,5.57,3.26,6.53,5.89,2.48,7.41,6.18,2.81,Hydrologist,Biology
9.31,8.21,4.26,5.72,3.58,6.68,5.45,2.44,7.8,5.84,3.34,Hydrologist,Biology
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,3.12,Marine Biologist,Biology
8.98,7.87,4.65,5.32,6.21,8.43,4.99,5.43,7.6,6.6,3.38,Marine Biologist,Biology
8.91,7.67,4.45,7.23,5.78,8.29,5.84,5.12,7.35,7.45,2.91,Marine Biologist,Biology
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,3.56,Marine Biologist,Biology
8.98,7.87,4.65,5.32,6.21,5.84,5.42,1.29,6.85,5.55,2.56,Marine Biologist,Biology
8.91,7.67,4.45,7.23,5.78,5.74,5.35,1.33,6.76,5.9,3.19,Marine Biologist,Biology
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,2.79,Marine Biologist,Biology
9.1,8.88,5.66,6.33,7.22,6.28,5.68,1.39,7.21,5.82,3.18,Marine Biologist,Biology
9.92,8.68,5.46,8.24,6.79,6.45,6.05,1.44,7.56,6.61,2.33,Marine Biologist,Biology
9.86,7.8,5.08,5.14,6.67,8.34,5.93,3.58,7.36,6.4,3.48,Marine Biologist,Biology
9.35,8.1,5.16,5.26,6.66,7.2,5.18,4.7,7.38,7.22,2.79,Marine Biologist,Biology
9.35,7.98,4.82,7.53,6.79,6.57,4.96,5.33,7.12,6.6,3.1,Marine Biologist,Biology
9.5,8.55,5.23,7.09,6.87,6.76,5.86,1.99,7.24,5.95,2.98,Marine Biologist,Biology
9.19,8.08,4.83,8.06,6.02,6.17,5.73,4.15,7.09,7.02,2.8,Marine Biologist,Biology
9.17,8.53,4.63,6.68,6.52,7.72,5.63,5.09,6.87,6.68,3.48,Marine Biologist,Biology
8.96,8.34,4.86,6.84,6.62,6.72,5.93,3.14,7.32,6.35,3.19,Marine Biologist,Biology
9.57,8.39,4.66,7.08,6.17,7.08,5.6,2.03,6.73,6.85,3,Marine Biologist,Biology
9.53,8.72,5.05,7.5,6,6.98,5.38,3.56,7.11,5.83,3.19,Marine Biologist,Biology
9.05,8.54,5.16,7.55,6.36,6.94,5.13,2.15,6.73,6.91,3.49,Marine Biologist,Biology
8.79,8.59,4.48,6.05,6.22,6.02,5.25,4.04,7.03,7.38,3.06,Marine Biologist,Biology
7.12,9.45,4.23,6.78,4.56,8.29,5.51,4.4,5.84,8.12,2.93,Pharmacist,Biology
7.12,9.45,4.23,6.78,4.56,5.92,4.41,2.41,6.4,4.92,2.54,Pharmacist,Biology
8.13,6.8,5.24,7.79,5.57,5.16,5.11,1.05,6.11,5.62,3.31,Pharmacist,Biology
7.13,7.91,4.9,7.3,5.33,5.32,5.35,1.12,5.93,6.93,3.06,Pharmacist,Biology
7.15,7.38,4.4,6.83,4.83,7.76,5.11,4.2,6.09,7.78,3.22,Pharmacist,Biology
7.22,8.8,4.96,7.73,5.34,6.14,4.61,1.17,5.97,5.58,3.19,Pharmacist,Biology
7.33,7.92,5.01,7.3,5.37,6.76,4.51,1.12,6.03,6.53,2.96,Pharmacist,Biology
7.39,8.14,5.09,7.09,5.45,7.03,4.74,2.61,6.39,6.06,3.05,Pharmacist,Biology
7.48,8.74,4.55,7.33,4.76,5.21,5.48,1.78,6.1,5.55,3.25,Pharmacist,Biology
7.49,9.12,5.15,7.36,5.24,6.13,5.08,3.27,6.07,7.96,2.95,Pharmacist,Biology
7.5,8.89,4.37,7.07,4.88,5.97,5.27,3.81,6.08,7.61,3.26,Pharmacist,Biology
7.58,8.12,4.58,7.04,5.4,5.46,4.47,2.7,6.03,5.24,2.86,Pharmacist,Biology
7.71,7.35,4.8,6.79,5.5,7.75,5.35,2.64,5.99,7.73,2.88,Pharmacist,Biology
7.78,9.06,4.39,6.86,5.01,5.41,4.44,2.99,6.09,7.89,3.05,Pharmacist,Biology
7.82,7.7,4.26,6.83,5.31,7.36,5.44,1.64,6.32,6.96,2.81,Pharmacist,Biology
7.87,8.15,4.72,7.63,4.79,6.84,5.33,2.6,6.17,6.07,2.55,Pharmacist,Biology
8.06,8.65,4.94,7.2,4.85,5.8,5.33,3.91,6.38,7.75,2.56,Pharmacist,Biology
8.07,8,4.33,6.84,5.08,7.03,4.79,4.05,5.88,5.47,3.04,Pharmacist,Biology
8.1,7.84,4.32,7.52,4.69,7.64,4.76,2.13,6.07,5.99,2.82,Pharmacist,Biology
8.1,8.01,5.23,7.29,5.34,7.6,5.18,3.83,6.19,6.06,3.2,Pharmacist,Biology
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,3.68,Zoologist,Biology
8.58,7.47,4.25,4.92,5.81,8.03,4.59,5.03,7.2,6.2,2.93,Zoologist,Biology
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,3.28,Zoologist,Biology
8.58,7.47,4.25,4.92,5.81,5.56,5.14,1.25,6.53,5.27,3,Zoologist,Biology
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,3.71,Zoologist,Biology
9.59,8.48,5.26,5.93,6.82,6.27,5.85,1.35,7.34,5.98,3.57,Zoologist,Biology
9.58,8.73,5.38,6.09,6.31,8.18,4.84,5.09,7.37,6.44,3.99,Zoologist,Biology
9.95,9.1,5.8,6.5,7.2,8.09,4.54,5.02,7.09,6.68,3.35,Zoologist,Biology
8.63,7.73,4.53,5.15,5.97,5.97,5.69,1.39,7.36,5.46,3.23,Zoologist,Biology
8.63,7.58,4.88,5.3,5.88,5.76,5.74,1.27,6.83,5.47,3.94,Zoologist,Biology
8.45,7.65,4.47,4.77,5.61,6.04,5.52,1.26,7.01,5.74,3.29,Zoologist,Biology
8.45,7.26,4.07,5.07,5.77,6.43,5.94,1.46,7.21,5.83,4,Zoologist,Biology
8.3,7.66,4.38,5.49,6.03,6.6,5.83,1.36,6.93,5.95,3.28,Zoologist,Biology
9.05,7.76,4.38,5.65,6.05,6.25,5.43,1.43,6.99,6.35,2.59,Zoologist,Biology
8.47,7.31,4.25,5.07,5.5,5.55,5.54,1.41,7.41,5.85,3.66,Zoologist,Biology
8.57,7.2,4.51,4.98,5.64,6.3,5.9,1.39,7.07,6.03,3.19,Zoologist,Biology
9.16,8.22,5.12,6.08,6.87,6.48,5.28,1.37,7.65,5.69,3.63,Zoologist,Biology
9.95,8.83,5.23,6.5,7.2,6.5,5.38,1.27,7.21,6.14,3.05,Zoologist,Biology
9.03,8.5,5.14,5.6,6.93,5.87,5.23,1.3,6.7,5.67,3.7,Zoologist,Biology
9,8,5.11,5.6,6.2,6.24,5.87,1.28,6.84,5.47,2.49,Zoologist,Biology
6.67,8.23,5.12,6.01,4.45,7.45,5.57,4.79,5.56,7.12,2.16,Data Analyst,Information Technology
6.67,8.23,5.12,6.01,4.45,5.29,4.36,1.96,5.8,4.54,2.15,Data Analyst,Information Technology
7.68,9.24,6.13,7.02,5.46,6,5.07,2.06,6.61,5.24,2.71,Data Analyst,Information Technology
7.59,9.01,5.45,6.31,5.31,6.41,5.1,4.3,6.61,6.42,2.46,Data Analyst,Information Technology
6.7,8.79,5.19,6.54,5.44,6.58,5.57,2.07,5.88,5.24,2.17,Data Analyst,Information Technology
6.71,9.06,5.37,6.17,4.51,5.58,4.4,3.03,5.6,5.74,2.49,Data Analyst,Information Technology
6.73,8.77,5.99,6.77,5.26,6.82,5.24,2.23,6.53,6.17,2.42,Data Analyst,Information Technology
7.25,8.87,6.07,6.84,4.55,5.68,4.47,3.81,6.19,5,2.49,Data Analyst,Information Technology
7.3,8.41,5.91,6.46,5.02,6.69,4.86,4.65,5.71,6.12,2.23,Data Analyst,Information Technology
7.15,8.6,6.03,6.13,5.32,5.83,5.57,3.77,5.99,6.77,2.33,Data Analyst,Information Technology
7.55,8.77,5.72,6.33,4.62,6.41,5.28,2.89,6.43,6.64,2.57,Data Analyst,Information Technology
6.92,9.01,5.47,6.12,4.86,5.75,4.6,4.12,6.47,4.56,2.62,Data Analyst,Information Technology
7.42,8.94,5.56,6.08,5.26,7.17,4.87,2.26,6.06,4.77,2.18,Data Analyst,Information Technology
6.68,8.93,5.71,6.52,4.6,6.83,5.14,3.11,5.95,6.34,2.2,Data Analyst,Information Technology
7.24,8.96,5.31,6.25,5,6.94,5.21,4,6.03,6.61,2.42,Data Analyst,Information Technology
7.63,9.18,6.04,6.06,4.81,5.68,5.05,2.33,5.64,6.04,2.48,Data Analyst,Information Technology
6.72,9.21,6.05,6.73,4.54,6.47,5.15,3.08,6.11,6.21,2.33,Data Analyst,Information Technology
7.38,9.23,5.64,6.6,4.72,5.34,5.12,4.71,6.51,5.46,2.68,Data Analyst,Information Technology
7.03,8.57,5.62,6.67,5.18,5.35,4.39,4.37,6.29,4.55,2.23,Data Analyst,Information Technology
7.32,9.14,5.82,6.47,5.24,5.71,5.49,3.76,6.2,4.74,2.23,Data Analyst,Information Technology
6.78,7.23,3.89,5.12,4.67,7.01,4.51,4.28,5.73,6.18,2.47,Data Scientist,Information Technology
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,2.54,Data Scientist,Information Technology
6.78,7.23,3.89,5.12,4.67,4.93,4.17,1.49,5.56,4.41,3.15,Data Scientist,Information Technology
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,2.89,Data Scientist,Information Technology
7.79,8.24,4.9,6.13,5.68,5.63,4.88,1.59,6.37,5.12,3.55,Data Scientist,Information Technology
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,3.19,Data Scientist,Information Technology
6.89,8.68,5.46,6.13,6.41,5.75,5.21,5.79,6.35,6.19,3.71,Data Scientist,Information Technology
6.67,8.24,4.9,5.12,5.68,5.29,4.52,5.51,6.01,5.32,3.12,Data Scientist,Information Technology
6.91,8.77,4.56,5.23,6.44,6.56,5.08,5.67,6.43,5.56,3.59,Data Scientist,Information Technology
6.74,8.65,3.65,6.32,5.65,5.83,5.56,6.07,6.62,6.38,3.35,Data Scientist,Information Technology
7.12,7.12,4.45,5.12,6.01,7.2,5.35,5.5,6.68,5.8,2.25,Data Scientist,Information Technology
6.65,7.88,4.66,5.24,5.56,6.28,4.88,5.66,6.32,5.65,3.15,Data Scientist,Information Technology
6.88,7.72,4.55,5.53,5.45,6.67,4.96,6.12,6.28,5.89,3.19,Data Scientist,Information Technology
6.75,7.74,4.87,5.17,5.21,6.44,5.24,6.44,6.12,6.12,3.22,Data Scientist,Information Technology
6.83,7.65,4.55,5.63,5.49,6.55,5.32,5.91,6.79,5.94,3.24,Data Scientist,Information Technology
7.23,7.32,4.89,5.15,5.45,6.92,5.48,6.14,6.14,5.78,3.42,Data Scientist,Information Technology
6.92,8.12,4.66,5.12,5.39,7.16,5.45,5.99,6.16,6.21,3.61,Data Scientist,Information Technology
6.58,7.95,4.61,5.16,5.63,6.33,5.12,6.07,6.49,5.97,3.46,Data Scientist,Information Technology
6.89,7.77,4.79,5.39,5.54,6.79,5.18,6.05,6.76,6.28,3.47,Data Scientist,Information Technology
7.45,8.34,4.12,5.35,5.92,6.34,5.09,6.11,6.57,6.31,3.21,Data Scientist,Information Technology
6.67,8.45,3.45,6.12,5.45,7.56,4.79,4.45,6.06,7.29,2.7,Database Administrator,Information Technology
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,3.91,Database Administrator,Information Technology
6.67,8.45,3.45,6.12,5.45,5.38,4.03,1.75,5.87,4.56,3.44,Database Administrator,Information Technology
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,2.97,Database Administrator,Information Technology
7.68,9.46,4.46,7.13,6.46,6.09,4.73,1.85,6.68,5.27,2.29,Database Administrator,Information Technology
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,2.28,Database Administrator,Information Technology
8.42,8.65,4.49,6.93,4.71,7.21,5.04,4.31,5.89,5.89,2.84,Database Administrator,Information Technology
8.03,9.44,3.81,7.05,5.33,6.3,4.01,5.14,6.78,7.39,2.2,Database Administrator,Information Technology
6.89,9.62,4.26,6.74,4.52,7.68,4.67,5.56,6.12,6.47,2.77,Database Administrator,Information Technology
8.77,9.62,4.81,7.41,4.37,7.86,6.41,5.45,5.45,6,3.86,Database Administrator,Information Technology
7.62,9.88,4.44,7.43,6.14,5.6,4.56,4.73,6.34,6.25,2.98,Database Administrator,Information Technology
8.98,8.06,3.19,7.77,6.77,7.35,5.97,4.74,5.53,7.43,2.69,Database Administrator,Information Technology
7.61,8.55,4.28,6.22,6.81,4.79,6.79,5.96,5.69,5.2,2.29,Database Administrator,Information Technology
7.71,9.88,4.48,7.89,6.11,4.18,4.62,5.82,6.13,7.62,3.65,Database Administrator,Information Technology
7.66,9.22,3.76,7.03,5.83,4.09,5.48,5.49,6.17,6.53,3.04,Database Administrator,Information Technology
8.76,9.49,3.03,6.63,4.8,7.67,6.56,5.22,5.32,6.4,2.94,Database Administrator,Information Technology
7.83,8.25,4.71,6.56,4.71,5.91,4.22,4.36,6.97,7.05,2.17,Database Administrator,Information Technology
8.33,7.17,4.91,5.38,6.11,6.11,4.6,5.58,5.14,5.75,3.63,Database Administrator,Information Technology
7.61,9.61,4.8,6.16,4.02,7.32,4.56,4.72,6.37,6.67,3.68,Database Administrator,Information Technology
6.99,7.01,4.43,5.56,5.37,6.27,4.66,5.95,5.23,7.84,2.81,Database Administrator,Information Technology
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,2.53,Database Analyst,Information Technology
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,2.73,Database Analyst,Information Technology
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,2.36,Database Analyst,Information Technology
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,2.26,Database Analyst,Information Technology
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,2.66,Database Analyst,Information Technology
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,3.82,Database Analyst,Information Technology
7.88,8.52,3.57,6.46,5.82,6.33,4.33,5.24,6.26,5.4,3.07,Database Analyst,Information Technology
6.71,9.44,3.4,7.68,6.4,5.88,4.01,5.22,6.61,6.83,3.43,Database Analyst,Information Technology
6.61,8.87,3.46,7.52,6.21,6.19,4.08,4.47,6.23,6.83,3.22,Database Analyst,Information Technology
7.83,9.01,3.47,7.33,6.39,6.75,4.93,4.74,6.42,5.87,2.24,Database Analyst,Information Technology
6.66,8.44,4.19,6.81,6.06,7.58,4.3,4.62,6.66,5.23,2.32,Database Analyst,Information Technology
6.93,8.61,4.6,7.45,6.22,7.49,4.96,4.28,6.79,6.23,3.49,Database Analyst,Information Technology
7.84,8.81,3.45,6.7,5.96,7.36,5.03,4.01,6.41,5.84,2.56,Database Analyst,Information Technology
6.68,8.84,4.62,6.82,6.07,7.09,4.44,5.46,6.86,5.31,3,Database Analyst,Information Technology
6.95,8.77,3.35,7.19,6.05,5.52,4.33,5.36,6.14,4.96,2.98,Database Analyst,Information Technology
7.98,8.71,4.24,7.39,5.71,7.15,4.44,4.95,6.53,6.21,2.34,Database Analyst,Information Technology
7.75,8.82,3.56,6.45,6.17,7.03,4.02,4.77,6.13,6.56,2.48,Database Analyst,Information Technology
7.54,8.9,4.61,6.58,5.84,5.67,5.11,5.32,6.16,6.61,3.51,Database Analyst,Information Technology
7.33,9.09,3.64,6.52,6.57,7.56,4.76,4.51,6.25,6.82,3.64,Database Analyst,Information Technology
6.74,9.11,4.27,7.25,5.69,7.11,4.28,4.49,6.65,6.58,3.56,Database Analyst,Information Technology
